Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,8.653846,8.673076,8.426923,8.511538,8.107690,6795360
2017-10-20,8.561538,8.823076,8.561538,8.615384,8.206608,4334200
2017-10-23,8.796153,8.796153,8.230769,8.323076,7.928169,4983160
2017-10-24,8.423076,8.653846,8.423076,8.573076,8.166306,4360460
2017-10-25,8.676923,8.776923,8.323076,8.557692,8.151652,4755140
2017-10-26,8.596153,8.626923,8.207692,8.288461,7.895196,5798260
2017-10-27,8.307692,8.415384,8.250000,8.303846,7.909851,3475680
2017-10-30,8.300000,8.303846,7.953846,8.096153,7.712013,6000800
2017-10-31,8.123076,8.307692,8.007692,8.184615,7.796278,4631640
2017-11-01,8.276923,8.442307,8.142307,8.142307,7.755977,4601740
2017-11-02,8.142307,8.142307,8.142307,8.142307,7.755977,0
2017-11-03,8.173076,8.357692,8.007692,8.250000,7.858561,6482580
2017-11-06,8.230769,8.423076,8.207692,8.350000,7.953815,3561220
2017-11-07,8.326923,8.388461,8.076923,8.123076,7.737659,5621980
2017-11-08,8.123076,8.465384,8.123076,8.361538,7.964806,4625140
2017-11-09,8.384615,8.492307,8.207692,8.338461,7.942822,5115760
2017-11-10,8.269230,8.419230,8.219230,8.326923,7.931833,4716400
2017-11-13,8.365384,8.376923,8.107692,8.192307,7.803607,5917340
2017-11-14,8.211538,8.265384,8.034615,8.065384,7.682703,6633640
2017-11-15,8.065384,8.065384,8.065384,8.065384,7.682703,0
2017-11-16,8.038461,8.461538,8.038461,8.365384,7.968466,5833620
2017-11-17,8.365384,8.707692,8.326923,8.584615,8.177299,4713800
2017-11-20,8.584615,8.584615,8.584615,8.584615,8.177299,0
2017-11-21,8.657692,8.996153,8.653846,8.911538,8.488710,7268820
2017-11-22,8.911538,9.065384,8.761538,9.038461,8.609612,6572020
2017-11-23,9.034615,9.034615,8.830769,8.961538,8.536335,1422980
2017-11-24,9.000000,9.011538,8.826923,8.846153,8.426430,2091700
2017-11-27,8.796153,8.869230,8.700000,8.807692,8.389791,4221880
2017-11-28,8.826923,9.015384,8.765384,8.765384,8.349489,3451240
2017-11-29,8.788461,8.934615,8.661538,8.769230,8.353152,5749900
2017-11-30,8.834615,8.900000,8.734615,8.800000,8.382462,9799400
2017-12-01,8.757692,8.873076,8.634615,8.715384,8.301864,5225740
2017-12-04,8.730769,9.030769,8.707692,8.903846,8.481381,4742660
2017-12-05,8.923076,9.257692,8.823076,9.153846,8.719522,6041620
2017-12-06,9.134615,9.334615,9.050000,9.173076,8.737837,5036460
2017-12-07,9.050000,9.134615,8.803846,8.869230,8.448411,4186000
2017-12-08,8.976923,9.076923,8.857692,8.903846,8.481381,3577600
2017-12-11,8.907692,9.026923,8.823076,8.896153,8.474056,2559440
2017-12-12,8.838461,9.019230,8.573076,9.019230,8.591292,4659980
2017-12-13,9.073076,9.434615,8.973076,9.115384,8.682883,8819460
2017-12-14,9.134615,9.150000,8.857692,8.896153,8.474056,5110560
2017-12-15,8.853846,9.092307,8.853846,9.076923,8.646250,11858860
2017-12-18,9.080769,9.130769,8.969230,9.030769,8.623132,4320160
2017-12-19,9.030769,9.100000,8.807692,8.873076,8.472558,2214420
2017-12-20,8.930769,9.007692,8.903846,8.961538,8.557025,5312060
2017-12-21,8.953846,9.446153,8.876923,9.307692,8.887552,5967780
2017-12-22,9.273076,9.407692,9.226923,9.334615,8.913262,2025920
2017-12-25,9.334615,9.334615,9.334615,9.334615,8.913262,0
2017-12-26,9.276923,9.565384,9.276923,9.500000,9.071182,2386280
2017-12-27,9.546153,9.623076,9.450000,9.496153,9.067508,1558960
2017-12-28,9.526923,9.596153,9.273076,9.273076,8.854502,5631600
2017-12-29,9.273076,9.273076,9.273076,9.273076,8.854502,0
2018-01-02,9.365384,9.680769,9.365384,9.623076,9.188702,4812860
2018-01-03,9.576923,9.596153,9.457692,9.476923,9.049147,4652960
2018-01-04,9.530769,9.584615,9.384615,9.384615,8.961005,3317600
2018-01-05,9.469230,9.480769,9.342307,9.423076,8.997730,2552680
2018-01-08,9.426923,9.557692,9.253846,9.500000,9.071182,3346200
2018-01-09,9.496153,9.657692,9.434615,9.653846,9.218081,6190340
2018-01-10,9.592307,9.607692,9.480769,9.576923,9.144634,3699800
2018-01-11,9.642307,9.807692,9.557692,9.761538,9.320917,4098640
2018-01-12,9.711538,9.915384,9.684615,9.834615,9.390693,4456140
2018-01-15,9.846153,9.934615,9.807692,9.900000,9.453127,1006460
2018-01-16,9.896153,10.100000,9.869230,10.019230,9.566977,4740580
2018-01-17,10.038461,10.096153,9.934615,9.961538,9.511887,3092960
2018-01-18,9.953846,10.053846,9.757692,9.823076,9.379674,3894800
2018-01-19,9.838461,9.984615,9.796153,9.957692,9.508214,2761200
2018-01-22,9.984615,10.076923,9.792307,9.846153,9.401711,2283840
2018-01-23,9.838461,9.888461,9.515384,9.561538,9.129944,3763240
2018-01-24,9.700000,9.792307,9.461538,9.576923,9.144634,7904780
2018-01-25,9.576923,9.576923,9.576923,9.576923,9.144634,0
2018-01-26,9.611538,9.696153,9.542307,9.619230,9.185030,6563440
2018-01-29,9.576923,9.576923,9.196153,9.311538,8.891225,12206740
2018-01-30,9.230769,9.350000,9.173076,9.230769,8.814104,4711720
2018-01-31,9.230769,9.346153,9.038461,9.115384,8.703928,9448140
2018-02-01,9.134615,9.192307,9.038461,9.038461,8.630476,5784220
2018-02-02,8.923076,8.953846,8.711538,8.750000,8.355039,7425860
2018-02-05,8.723076,8.846153,8.623076,8.653846,8.263220,5345340
2018-02-06,8.603846,9.015384,8.503846,8.915384,8.512955,9471800
2018-02-07,8.976923,9.057692,8.769230,8.807692,8.410125,5872360
2018-02-08,8.853846,8.919230,8.511538,8.550000,8.164065,4989400
2018-02-09,8.546153,8.642307,8.261538,8.430769,8.050215,6881160
2018-02-14,null,null,null,null,null,null
2018-02-15,8.903846,9.111538,8.803846,9.003846,8.597424,5426980
2018-02-16,9.003846,9.030769,8.700000,8.796153,8.399106,6077240
2018-02-19,8.873076,8.873076,8.734615,8.834615,8.435833,1340820
2018-02-20,8.769230,8.961538,8.753846,8.826923,8.428488,3787420
2018-02-21,8.826923,8.961538,8.784615,8.784615,8.388088,6453720
2018-02-22,8.873076,9.023076,8.800000,8.842307,8.443177,4885920
2018-02-23,8.896153,9.219230,8.853846,9.173076,8.759013,6830200
2018-02-26,9.323076,9.469230,9.192307,9.292307,8.872867,6846840
2018-02-27,9.273076,9.353846,9.115384,9.153846,8.740654,4828720
2018-02-28,9.173076,9.173076,8.903846,9.003846,8.597424,10039120
2018-03-01,8.911538,9.115384,8.784615,8.953846,8.549683,8476780
2018-03-02,8.926923,8.953846,8.746153,8.903846,8.501935,4411940
2018-03-05,8.900000,8.900000,8.676923,8.753846,8.388464,4134780
2018-03-06,8.800000,8.842307,8.719230,8.738461,8.373722,3995420
2018-03-07,8.730769,8.761538,8.550000,8.680769,8.318438,5894720
2018-03-08,8.696153,8.811538,8.557692,8.634615,8.274210,3162380
2018-03-09,8.638461,8.915384,8.638461,8.846153,8.476919,3613220
2018-03-12,8.884615,8.984615,8.807692,8.807692,8.440061,2598960
2018-03-13,8.830769,8.934615,8.611538,8.730769,8.366351,4755400
2018-03-14,8.753846,8.884615,8.734615,8.865384,8.495346,2334020
2018-03-15,8.865384,8.961538,8.807692,8.884615,8.513774,5119400
2018-03-16,8.938461,9.053846,8.850000,8.923076,8.550629,7056920
2018-03-19,8.896153,9.023076,8.803846,8.926923,8.554316,3405480
2018-03-20,8.992307,9.007692,8.857692,8.857692,8.487974,3613220
2018-03-21,8.900000,8.988461,8.850000,8.903846,8.532203,3111420
2018-03-22,8.938461,9.038461,8.815384,8.923076,8.550629,4097600
2018-03-23,8.803846,9.057692,8.773076,8.850000,8.480604,3486340
2018-03-26,8.930769,8.930769,8.657692,8.696153,8.352223,3543800
2018-03-27,8.746153,8.746153,8.376923,8.542307,8.204463,7028320
2018-03-28,8.496153,8.723076,8.469230,8.615384,8.274650,4562740
2018-03-29,8.615384,8.734615,8.530769,8.696153,8.352223,4608500
2018-04-02,8.726923,8.726923,8.526923,8.584615,8.245097,3588520
2018-04-03,8.634615,8.646153,8.492307,8.584615,8.245097,2954380
2018-04-04,8.434615,8.703846,8.407692,8.588461,8.248791,4720820
2018-04-05,8.765384,8.765384,8.480769,8.553846,8.215546,3933540
2018-04-06,8.534615,8.596153,8.330769,8.369230,8.038235,5372380
2018-04-09,8.400000,8.442307,8.184615,8.192307,7.868305,4023240
2018-04-10,8.253846,8.342307,8.188461,8.269230,7.942187,3897140
2018-04-11,8.215384,8.442307,8.215384,8.311538,7.982821,3555760
2018-04-12,8.403846,8.430769,8.219230,8.407692,8.075171,4296760
2018-04-13,8.365384,8.534615,8.273076,8.480769,8.145359,5144100
2018-04-16,8.426923,8.607692,8.384615,8.519230,8.182300,3448380
2018-04-17,8.442307,8.626923,8.426923,8.557692,8.219241,2364960
2018-04-18,8.465384,8.653846,8.373076,8.534615,8.197075,6794840
2018-04-19,8.500000,8.692307,8.438461,8.630769,8.289426,4323280
2018-04-20,8.576923,8.884615,8.573076,8.811538,8.463047,4188600
2018-04-23,8.846153,8.915384,8.723076,8.776923,8.429802,3354780
2018-04-24,8.807692,8.926923,8.680769,8.734615,8.389168,3239340
2018-04-25,8.745000,8.840000,8.505000,8.550000,8.211851,6381200
2018-04-26,8.655000,8.990000,8.630000,8.960000,8.605636,7503400
2018-04-27,9.025000,9.065000,8.865000,8.965000,8.610440,3500400
2018-04-30,8.975000,8.975000,8.810000,8.890000,8.538406,3161600
2018-05-02,8.895000,9.195000,8.680000,9.005000,8.648858,6977000
2018-05-03,8.960000,9.010000,8.800000,8.800000,8.451965,4596000
2018-05-04,8.770000,8.805000,8.595000,8.600000,8.259873,3209200
